,Unnamed: 0,question,answer,cluster,index
1534,1534,A library has a number of books. 35% of them are intended for children and 104 of them are for adults. How many books are in the library?,"65% of the library books are for adults because 100 - 35 = <<100-35=65>>65
There are 160 library books in total because 104 / .65 = <<104/.65=160>>160
#### 160",0,1049
5088,5088,"Barbara went shopping in a supermarket. She bought 5 packs of tuna for $2 each and 4 bottles of water for $1.5 each. In total, she paid $56 for her shopping. How much did Barbara spend on different than the mentioned goods?","For the tuna Barbara needed to pay 5 * 2 = $<<5*2=10>>10.
For the four bottles of water, she needed to pay 4 * 1.5 = $<<4*1.5=6>>6.
On different goods Barbara spend 56 - 10 - 6 = $<<56-10-6=40>>40.
#### 40",1,4792
3789,3789,"Doris works at the Widget Factory in the packing department. She puts 3 widgets in each carton, which are 4 inches wide, 4 inches long, and 5 inches tall. She then packs those cartons into a shipping box before sending it to the loading bay. The shipping boxes are 20 inches wide, 20 inches long, and 20 inches high. How many widgets get shipped in each shipping box?","Each carton has an area of 4*4*5 = <<4*4*5=80>>80 square inches.
Each shipping box has an area of 20*20*20 = <<20*20*20=8000>>8000 square inches
The total number of cartons that will fit into each box is 8000/80 = <<8000/80=100>>100
Since there are 3 widgets in each carton, the total number of cartons in each box will be 3*100 = <<3*100=300>>300
#### 300",2,2110
4721,4721,"In 6 years, Carla will be 30 years old. The sum of the current ages of Carla and Louis is 55. How old is Louis now?","Carla is currently 30-6=<<30-6=24>>24 years old.
Louis is 55-24=<<55-24=31>>31 years old at present.
#### 31",3,4772
7170,7170,"Monica read 16 books last year. This year, she read twice the number of books she read last year. Next year, she wants to read 5 more than twice the number of books she read this year. How many books will Monica read next year?","The number of books that Monica read this year is 2 * 16 = <<2*16=32>>32 books.
Twice the number of books that Monica read this year is 2 * 32 = <<2*32=64>>64 books.
The number of books that Monica will read next year is 64 + 5 = <<64+5=69>>69 books.
#### 69",4,1919
3888,3888,A store owner ordered 20 cases of bottles of soda in April and 30 cases in May. There are 20 bottles per case. How many bottles of soda did the store owner order in April and May?,"The store owner ordered a total of 20 + 30 = <<20+30=50>>50 cases.
This is equal to 50 x 20 = <<50*20=1000>>1000 bottles of soda.
#### 1000",0,3120
1977,1977,"Charles can earn $15 per hour when he housesits and $22 per hour when he walks a dog. If he housesits for 10 hours and walks 3 dogs, how many dollars will Charles earn?","Housesitting = 15 * 10 = <<15*10=150>>150
Dog walking = 22 * 3 = <<22*3=66>>66
Total earned is 150 + 66 = $<<150+66=216>>216
#### 216",1,3118
6165,6165,"Tamtam collected 65 shells in total. She got 13 purple shells, 8 pink shells, 18 yellow shells, and 12 blue shells. The remaining shells are color orange. How many orange shells are there?","Tamtam has a total of 13 + 8 + 18 + 12 = <<13+8+18+12=51>>51 shells that are not orange.
Therefore, Tamtam has a total of 65 – 51 = <<65-51=14>>14 orange shells.
#### 14",2,2802
232,232,"Jolene and Phil have four children, each with the same birthday.  They gave birth to their first child exactly 15 years ago.  They gave birth to their second child exactly one year after the birth of their first child.  They gave birth to their third child on the fourth birthday of their second child. Two years after the birth of their third child, they gave birth to their fourth child.  How old, in years, is their fourth child?","Their 1st child was born 15 years ago, and therefore is <<15=15>>15 years old.
Their 2nd child was born 1 year after their 15-year-old child, and therefore is 15-1=<<15-1=14>>14 years old.
Their 3rd child was born 4 years after their 14-year-old child, and therefore is 14-4=10 years old.
Their 4th child was born 2 years after their 10-year-old child, and therefore is 10-2=8 years old.
#### 8",3,4149
3521,3521,"Will's breakfast supplied him 900 calories of energy. Then he decided to jog for half an hour, which used up 10 calories of energy per minute. What is Will's net calorie intake after jogging?","Will jogged for 60/2 = <<60/2=30>>30 minutes.
He was able to use up 10 x 30 = <<10*30=300>>300 calories for jogging.
The net calorie intake of Will after jogging is 900 - 300 = <<900-300=600>>600.
#### 600",4,3543
